,protocol,io,srcport,dstport,payload
928,1,0,80,0,12.858403898386324
929,1,1,0,80,60.325
930,1,1,0,80,963.9625
931,1,0,80,0,0.09638121105607925
932,1,1,0,80,1036.3625
933,1,1,0,80,60.325
934,1,0,80,0,18.541503555164976
935,1,1,0,80,34.975
936,1,0,80,0,3.21434848605896
937,1,1,0,80,34.975
938,1,0,80,0,32.13380731746285
939,1,1,0,80,57.1375
940,1,0,80,0,33.43752995686212
941,1,0,80,0,3.723997443681099
942,1,0,80,0,4.235261223837674
943,1,1,0,80,57.1375
944,1,1,0,80,53.95
945,1,1,0,80,53.95
946,1,1,443,0,0.07967068585504991
947,1,1,0,80,869.2
948,1,0,80,0,0.08619587793577249
949,1,0,80,0,17.85760504872983
950,1,1,0,80,57.1375
951,1,0,80,0,5.749940086275763
952,1,1,0,80,57.1375
953,1,1,0,80,847.125
954,1,0,80,0,0.09638121105607925
955,1,0,80,0,23.932776801405975
956,1,1,0,80,60.325
957,1,0,80,0,0.09129219093269422
958,1,1,0,80,53.95
959,1,0,80,0,0.0811064509686439
960,1,0,80,0,0.09637736150497264
961,1,1,0,80,60.325
962,1,0,80,0,0.08619243519591005
963,1,1,0,80,875.6
964,1,0,80,0,0.10147387761623262
965,1,0,80,0,17.584198753794535
966,1,1,0,80,57.1375
967,1,1,0,80,885.0375
968,1,0,80,0,0.09638121105607925
969,1,0,0,443,9.428893905191874
970,1,0,0,443,9.428893905191874
971,1,0,0,80,49.025
972,1,0,0,80,49.025
973,1,0,0,443,10.00451467268623
974,1,1,443,0,0.11226076813409945
975,1,0,0,443,12.325056433408578
976,1,0,0,443,62.963882618510155
977,1,1,443,0,0.12345012312610705
978,1,1,443,0,7.839439236186115
979,1,0,0,443,12.325056433408578
980,1,1,443,0,0.6862012355812849
981,1,0,0,443,14.600451467268623
982,1,1,443,0,3.4897610921501707
983,1,0,0,443,12.325056433408578
984,1,0,0,443,31.13995485327314
985,1,0,0,443,115.6704288939052
986,1,1,443,0,0.12345012312610705
987,1,1,443,0,0.9321294336199075
988,1,1,443,0,0.94314598004061
989,1,0,0,443,12.325056433408578
990,1,1,443,0,8.076294984231218
991,1,0,0,443,11.749435665914222
992,1,1,443,0,0.17801442951570398
993,1,0,0,443,15.17607223476298
994,1,1,443,0,4.003477772497516
995,1,0,0,443,18.03611738148984
996,1,1,443,0,0.12345012312610705
997,1,0,0,443,18.03611738148984
998,1,1,443,0,4.003477772497516
999,1,0,0,443,15.17607223476298
1000,1,1,443,0,4.031515963191774
1001,1,0,0,443,12.325056433408578
1002,1,0,0,443,18.602708803611737
1003,1,0,0,443,12.900677200902935
1004,1,0,80,0,17.96455104649305
1005,1,1,0,80,50.7625
1006,1,0,80,0,18.046033711455504
1007,1,1,0,80,53.95
1008,1,0,80,0,2.2587673749800286
1009,1,1,0,80,57.1375
1010,1,1,443,0,4.003477772497516
1011,1,0,0,443,6.595936794582393
1012,1,1,443,0,4.031515963191774
1013,1,0,0,443,6.595936794582393
1014,1,1,443,0,0.07413487708990366
1015,1,1,0,80,53.95
1016,1,0,80,0,0.09638121105607925
1017,1,1,0,80,57.1375
1018,1,1,0,21,205.14285714285714
1019,1,0,21,0,0.140006623613181
1020,1,1,0,21,254.0952380952381
1021,1,0,21,0,0.17486338797814208
1022,1,1,0,21,229.8095238095238
1023,1,1,0,21,301.9047619047619
1024,1,0,21,0,0.12615223270960976
1025,1,0,21,0,0.21670254457139704
1026,1,1,0,21,362.14285714285717
1027,1,0,21,0,0.12615223270960976
1028,1,0,21,0,0.17480819120163382
1029,1,1,0,21,229.8095238095238
1030,1,1,0,21,205.14285714285714
1031,1,0,21,0,0.13296169555138537
1032,1,0,21,0,0.12615223270960976
1033,1,1,0,21,254.0952380952381
1034,1,1,0,21,229.8095238095238
1035,1,0,21,0,0.17485373661552048
1036,1,1,0,21,254.0952380952381
1037,2,1,0,0,3177
1038,2,1,0,0,7333
1039,1,1,0,21,289.95238095238096
1040,1,0,21,0,0.14725687161938403
1041,1,0,21,0,0.2237277845236781
1042,1,1,0,21,254.0952380952381
1043,1,1,0,21,302.0
1044,1,0,21,0,0.14021967104536925
1045,1,0,21,0,0.19588254774257643
1046,1,1,0,21,278.0952380952381
1047,1,0,21,0,0.14021967104536925
1048,1,0,21,0,0.17488133348051663
1049,1,1,0,21,265.95238095238096
1050,1,0,21,0,0.16795452036648637
1051,1,0,21,0,0.15410089413842587
1052,1,0,21,0,0.15410089413842587
1053,1,0,21,0,0.15410089413842587
1054,1,1,0,21,241.95238095238096
1055,1,0,21,0,0.15410089413842587
1056,1,1,0,21,241.95238095238096
1057,1,0,21,0,0.16798211723148251
1058,1,1,0,21,241.95238095238096
1059,1,0,21,0,0.15410089413842587
1060,1,0,21,0,0.15410089413842587
1061,1,1,0,21,254.0952380952381
1062,1,0,21,0,0.1540457004084336
1063,1,1,0,21,266.0
1064,1,0,21,0,0.2516006181697759
1065,1,1,0,21,278.0
1066,1,0,21,0,0.21677337454465173
1067,1,1,0,21,265.95238095238096
1068,1,0,21,0,0.23035103212275085
1069,1,1,0,21,446.14285714285717
1070,1,1,0,0,0.07825755236244074
1071,1,0,0,0,0.1254326970626051
1072,1,1,0,0,0.09693182437464803
1073,1,0,21,0,0.20976377083563308
1074,1,1,0,21,446.14285714285717
1075,1,0,21,0,0.25162821503477206
1076,1,1,0,21,458.2857142857143
1077,1,0,21,0,0.20283695772160282
1078,1,1,0,21,278.0952380952381
1079,1,0,0,0,0.1256305014340817
1080,1,0,21,0,0.2373606358317695
1081,1,1,0,21,458.3333333333333
1082,1,1,0,0,0.2978848413631022
1083,1,0,0,0,0.10491810059563203
1084,1,0,21,0,0.22375538138867423
1085,1,1,0,0,0.3649954302128215
1086,1,1,0,0,0.3649954302128215
1087,1,1,0,21,266.23809523809524
1088,1,0,21,0,0.15429407219339883
1089,1,1,0,21,266.23809523809524
1090,1,0,0,0,0.1156312045003309
1091,1,1,0,443,7.997742663656885
1092,1,0,443,0,0.13470508354490168
1093,1,1,0,443,10.318284424379232
1094,1,1,0,443,66.13769751693002
1095,1,0,443,0,0.14246915038082306
1096,1,0,443,0,4.584489579028163
1097,1,1,0,443,10.318284424379232
1098,1,1,0,443,31.40632054176072
1099,1,0,443,0,0.14999704788333235
1100,1,0,443,0,1.1280628210426875
1101,1,1,0,443,15.428893905191874
1102,1,0,443,0,0.14999704788333235
1103,1,1,0,443,10.318284424379232
1104,1,1,0,443,6.891647855530474
1105,1,1,0,443,8.573363431151241
1106,1,0,443,0,0.1346971307120085
1107,1,1,0,443,10.318284424379232
1108,1,1,0,443,66.71331828442437
1109,1,0,443,0,0.13493328610225527
1110,1,0,443,0,4.569164009918526
1111,1,1,0,443,10.89390519187359
1112,1,1,0,443,29.679458239277654
1113,1,0,443,0,1.1054138623214076
1114,1,1,0,443,253.05643340857787
1115,1,0,443,0,0.14998819223048765
1116,1,0,443,0,1.9800448695241468
1117,1,1,0,443,216.4627539503386
1118,1,0,443,0,0.14246073916637148
1119,1,0,443,0,13.831562167906483
1120,1,1,0,443,10.318284424379232
1121,1,1,0,443,157.13995485327314
1122,1,0,443,0,0.13493328610225527
1123,1,0,443,0,27.531910497107095
1124,1,1,0,443,10.89390519187359
1125,1,0,443,0,4.84750265674814
1126,1,0,443,0,30.97594166961861
1127,1,1,0,443,11.469525959367946
1128,1,0,443,0,30.5995690164128
1129,1,1,0,443,12.045146726862303
1130,1,0,443,0,16.08947337347975
1131,1,1,0,443,11.469525959367946
1132,1,0,443,0,0.2542803164482229
1133,1,1,0,443,148.51015801354401
1134,1,1,0,443,9.148984198645598
1135,1,0,443,0,0.1422161874963103
1136,1,1,0,443,9.148984198645598
1137,1,0,443,0,0.14973435655253836
1138,1,1,0,443,9.148984198645598
1139,1,0,443,0,0.14972551797414557
1140,1,1,0,443,10.89390519187359
1141,1,1,0,443,9.724604966139955
1142,1,0,443,0,0.14219100460394288
1143,1,1,0,443,12.045146726862303
1144,1,1,0,443,11.469525959367946
1145,1,1,0,443,12.045146726862303
1146,1,0,443,0,7.169795725587437
1147,1,1,0,443,11.469525959367946
1148,1,1,0,443,133.97742663656885
1149,1,0,443,0,0.15749704840613932
